shippingDate,title,company,salary,province,workingHours,typeOfCooperation,facility,tagList
2025-03-09,Data Analyst,اسنپ باکس,an argumant,تهران ، زعفرانیه,Saturday to Wednesday 9 A.M. to 6 P.M.,Full Time,,['Sql Server\n|\nIntermediate']
2025-04-20,کارشناس تحلیل داده (مهندس داده),مهسان,an argumant,تهران ، عباس آباد (بهشتی),شنبه تا چهارشنبه - 8:00 تا 16:45,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nمتوسط']"
2025-04-26,Data Engineer,تجارت الکترونیک پارسیان,an argumant,تهران ، جردن,Saturday to Wednesday from 07:30 to 15:45,Full Time,,[]
2025-04-05,کارشناس ارشد تحلیل داده (Power Bi) - آقا,پرشیا خودرو,an argumant,تهران ، جاده مخصوص,شنبه تا پنجشنبه,تمام وقت,,"['کارشناسی\n|\nمهندسی صنایع', 'Microsoft Excel\n|\nپیشرفته', 'Minitab\n|\nپیشرفته', 'PowerBI\n|\nپیشرفته']"
2025-03-25,کارشناس هوش مصنوعی,آژانس تبلیغات 128,30 - 35 میلیون تومان,اصفهان ، آبشار,شنبه تا چهارشنبه از ساعت 8 الی 17 پنجشنبه از ساعت 8 الی 14,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Python\n|\nمتوسط']"
2025-04-28,Data Engineer,فناوری اطلاعات و ارتباطات مُهَیمن,an argumant,تهران ، عباس آباد (بهشتی),شنبه تا چهارشنبه 8 الی 16 | پنج‌شنبه‌ها 8 الی 12,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Oracle NoSQL\n|\nمتوسط', 'Python\n|\nمتوسط']"
2025-04-12,BI Developer (Mid),آرین نوین رایانه,18 - 22 میلیون تومان,زنجان,شنبه تا چهارشنبه 8 الی 16:30,تمام وقت,,"['RabbitMQ\n|\nمتوسط', 'T-Sql\n|\nمقدماتی', 'Zookeeper\n|\nپیشرفته', 'JQuery\n|\nمقدماتی', 'PowerBI\n|\nپیشرفته', 'ODI\n|\nپیشرفته', '.Net Core / .Net\n|\nمقدماتی', 'JavaScript\n|\nمتوسط', 'MySql\n|\nمتوسط']"
2025-05-04,junior Data Engineer,فناوری اطلاعات و ارتباطات مُهَیمن,an argumant,تهران ، عباس آباد (بهشتی),شنبه تا چهارشنبه 8 الی 16 | پنج‌شنبه‌ها 8 الی 12,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'MySql\n|\nمتوسط', 'PostgreSql\n|\nمتوسط', 'Sql Server\n|\nمتوسط', 'Python\n|\nمتوسط', 'Java\n|\nمتوسط', 'Linux\n|\nمتوسط', 'GIT\n|\nمتوسط', 'Gerafana\n|\nمقدماتی', 'Zabbix\n|\nمقدماتی', 'Prometheus\n|\nمقدماتی']"
2025-04-20,Data Engineer,شرکت پویا,an argumant,تهران ، نیلوفر - شهید قندی,saturday to wednsday from 8:00am to 16:30pm,Full Time,,"['Oracle NoSQL\n|\nIntermediate', 'Node.js\n|\nIntermediate', 'Kafka\n|\nIntermediate', 'Python\n|\nIntermediate', 'Java\n|\nIntermediate', 'Sql Server\n|\nIntermediate']"
2025-04-19,کارشناس تحلیل داده (Data Analyst),بهسازان ملت,an argumant,تهران ، پاسداران,شنبه تا چهارشنبه 8 الی 17,تمام وقت,,[]
2025-04-27,Tapsi Delivery- Senior Data Analyst,تپسی,an argumant,تهران ، سعادت آباد,شنبه تا چهارشنبه,Full Time,,"['System Analysis\n|\nIntermediate', 'Python\n|\nIntermediate', 'Tableau\n|\nIntermediate', 'PowerBI\n|\nIntermediate']"
2025-04-06,Data Analyst,شرکت صنایع غذایی ماسترفوده,22 - 25 میلیون تومان,تهران ، عباس آباد (بهشتی),saturday to wednesday at 7:30 to 17,Full Time,,[]
2025-04-15,کارشناس تحلیل داده و هوش مصنوعی,گلرنگ سیستم,an argumant,تهران ، ساعی - توانیر,ساعت کاری شنبه تا چهارشنبه 7:45 تا 17:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪']"
2025-04-30,کارشناس هوش تجاری (BI),شرکت دارویی پخش فردوس,an argumant,تهران ، دریان نو,شنبه تا چهارشنبه 7:30 تا 16:15، پنجشنبه‌ها اضافه کار,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع', 'Python\n|\nپیشرفته', 'SSAS\n|\nپیشرفته', 'PowerBI\n|\nپیشرفته', 'T-Sql\n|\nپیشرفته']"
2025-04-30,Computer Vision Expert,شرکت زرین رویا,an argumant,تهران ، آرژانتین,Saturday to Wednesday (8:00-16:50),Full Time,,"['Python\n|\nAdvanced', 'GIT\n|\nIntermediate']"
2025-04-09,کارشناس ارشد پردازش زبان طبیعی (Senior NLP Developer),دانشکده مهندسی کامپیوتر - دانشگاه صنعتی امیرکبیر,an argumant,تهران ، حافظ,شنبه تا چهارشنبه - 9 ساعت در بازه 8 تا 20,تمام وقت یا پاره وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Python\n|\nمتوسط', 'Django\n|\nپیشرفته', 'GIT\n|\nمتوسط']"
2025-04-19,کارشناس تحلیل داده,گروه صنعتی طبیعت ماکان,an argumant,تهران ، شهران,شنبه الی سه شنبه 08:00الی 1700 و چهارشنبه 08:00 الی 16:00,تمام وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Microsoft Excel\n|\nپیشرفته', 'PowerBI\n|\nپیشرفته', 'Sql Server\n|\nمتوسط']"
2025-04-28,Senior Data Analyst (Pricing),گروه اسنپ,an argumant,تهران ، زعفرانیه,شنبه تا چهارشنبه ساعت 9 تا 18,Full Time,,['Python\n|\nIntermediate']
2025-05-04,کارشناس تحلیل داده‌های منابع انسانی (HR Analytics),کالارسانان چاپار,an argumant,تهران ، جاده مخصوص,شنبه تا پنجشنبه 16:00 الی 22,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع', 'کارشناسی\n|\nریاضی و آمار', 'کارشناسی\n|\nمدیریت / بازرگانی / کسب و کار', 'Microsoft Word\n|\nمتوسط', 'Microsoft Excel\n|\nپیشرفته', 'Microsoft Powerpoint\n|\nپیشرفته', 'Microsoft Outlook\n|\nمتوسط', 'PowerBI\n|\nپیشرفته']"
2025-03-17,مهندس داده,دیکام,an argumant,اصفهان ، چرخاب,شنبه تا چهارشنبه ساعت 8:30 الی 17:30,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'T-Sql\n|\nپیشرفته', 'SSRS\n|\nمقدماتی', 'Oracle BI\n|\nمقدماتی', 'SPSS\n|\nمقدماتی', 'PowerBI\n|\nمقدماتی', 'Tableau\n|\nمقدماتی', 'Sql Server\n|\nپیشرفته']"
2025-04-20,مدرس هوش مصنوعی,جهاد دانشگاهی واحد قزوین,an argumant,قزوین,توافقی,قراردادی / پروژه ای,,[]
2025-04-28,تحلیل‌گر داده (Data Analyst),فناوری اطلاعات و ارتباطات مُهَیمن,an argumant,تهران ، عباس آباد (بهشتی),شنبه تا چهارشنبه 8 الی 16 | پنج‌شنبه‌ها 8 الی 12,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع', 'Python\n|\nمتوسط', 'PowerBI\n|\nمقدماتی']"
2025-04-26,کارشناس اطلاعات و تحلیل داده MIS,شرکت پخش پدیده پایدار,an argumant,تهران ، ونک,شنبه تا پنجشنبه 7:30 تا 16:45 - پنجشنبه تا 11:30,تمام وقت,,"['کارشناسی\n|\nمهندسی صنایع', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'PowerBI\n|\nمقدماتی', 'Microsoft Excel\n|\nپیشرفته']"
2025-04-15,Delivery Data Analyst,اسنپ فود,an argumant,تهران ، زعفرانیه,Sat - Wed,Full Time,,"['Bachelor\n|\nIndustrial Engineering', 'Gerafana\n|\nIntermediate', 'PowerBI\n|\nIntermediate', 'Tableau\n|\nIntermediate', 'Microsoft Excel\n|\nIntermediate']"
2025-04-05,کارشناس تحلیل داده (data analysis),راژمان الگوریتم هوپاد,an argumant,تهران ، ونک,از شنبه تا چهارشنبه 8:15 الی 17,تمام وقت,,"['انگلیسی\n|\nمتوسط ۵۰٪', 'Python\n|\nپیشرفته', 'Notepad++\n|\nمقدماتی', 'ShellScript\n|\nپیشرفته']"
2025-04-23,کارشناس تحلیل داده و هوش تجاری,داده پردازان بنیان آوا,an argumant,تهران ، ظفر,شنبه تا چهارشنبه 8 تا 16:45,تمام وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nپایین تر از متوسط ۳۰٪', 'PowerBI\n|\nمتوسط', 'Sql Server\n|\nمتوسط', 'MySql\n|\nمتوسط', 'Python\n|\nمقدماتی']"
2025-04-26,Master Data Management Specialist,یونیلیور ایران,an argumant,تهران ، آرژانتین,Saturday to Wednesday 8:30 AM to 5:30 PM,Full Time,,"['Bachelor\n|\nComputer and IT', 'Bachelor\n|\nBusiness/Management/Commerce', 'English\n|\nAdvanced 90%', 'Microsoft Word\n|\nIntermediate', 'Microsoft Powerpoint\n|\nIntermediate', 'Microsoft Excel\n|\nAdvanced']"
2025-04-21,کارشناس علم داده (Mid-level to Senior),داده پردازان بنیان آوا,an argumant,تهران ، ظفر,شنبه تا چهارشنبه 8 تا 16:45,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Python\n|\nپیشرفته']"
2025-04-14,کارشناس ارشد مهندس داده ( Data Engineer ),شرکت توسعه تجارت هزارگذر,an argumant,تهران ، ونک,ساعت کاری شنبه تا چهارشنبه 8:30 تا 17:30 پنج شنبه تعطیل میباشد .,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nریاضی و آمار', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Sql Server\n|\nمتوسط', 'MySql\n|\nمتوسط', 'PostgreSql\n|\nمتوسط', 'Gerafana\n|\nمقدماتی', 'Kafka\n|\nمتوسط', 'Python\n|\nپیشرفته', 'Wireshark\n|\nمقدماتی', 'Linux\n|\nمتوسط']"
2025-04-05,کارشناس علم داده,تجارت الکترونیک و فناوری اطلاعات ملل,15 - 20 میلیون تومان,تهران ، شهرک والفجر,شنبه تا چهارشنبه 07:00 الی 16:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Python\n|\nمتوسط']"
2025-03-05,کارشناس تحلیلگر سیستم,سالن زیبایی مریم پرور,an argumant,تهران ، انقلاب,شنبه تا چهارشنبه,قراردادی / پروژه ای,امکان دورکاری,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'PowerBI\n|\nپیشرفته', 'Visual Paradigm\n|\nپیشرفته', 'Entity Framework\n|\nپیشرفته', 'PL-SQL\n|\nمتوسط']"
2025-04-22,رییس انبار داده,تیپاکس اکسپرس پارس,45 - 60 میلیون تومان,تهران ، شهرک استقلال,شنبه تا چهارشنبه 08:00 الی 17:00,تمام وقت,,"['PowerBI\n|\nمتوسط', 'Tableau\n|\nمتوسط', 'Sql Server\n|\nمتوسط', 'MySql\n|\nمتوسط', 'Python\n|\nمتوسط']"
2025-04-08,Business Intelligence Developer,دیجی کالا,an argumant,تهران ، چیتگر,شنبه تا چهارشنبه,Full Time,,"['PowerBI\n|\nAdvanced', 'C#\n|\nIntermediate']"
2025-04-15,تحلیلگر سیستم (System Analyst),فناوری اطلاعات و ارتباطات مُهَیمن,an argumant,تهران ، نیلوفر - شهید قندی,شنبه تا چهارشنبه 8 تا 16 | پنجشنبه 8 تا 12,تمام وقت,,"['Sql Server\n|\nمتوسط', 'PowerBI\n|\nمتوسط']"
2025-04-23,Big Data Analyst (Vendor),خدمات ارتباطی ایرانسل,an argumant,تهران ، هروی,Full Time,Full Time,,"['Bachelor\n|\nComputer and IT', 'English\n|\nUpper Intermediate 70%']"
2025-04-19,برنامه نویس هوش مصنوعی,هوشمند تدبیر دیاکو,an argumant,تهران ، حسین آباد - مبارک آباد,شنبه تا چهارشنبه ساعت 8 الی 17,تمام وقت,,"['Jira\n|\nمتوسط', 'Trello\n|\nمتوسط', 'Python\n|\nمتوسط', 'GIT\n|\nپیشرفته', 'MySql\n|\nمتوسط']"
2025-03-17,کارشناس ETL,تجارت الکترونیک و فناوری اطلاعات ملل,15 - 20 میلیون تومان,تهران ، شهرک والفجر,شنبه تا چهارشنبه 07:10 الی 16:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪']"
2025-04-30,Big Data Engineer,شرکت زرین رویا,an argumant,تهران ، آرژانتین,Saturday-Wednesday(8-16:50),Full Time,,"['Python\n|\nAdvanced', 'Scala\n|\nAdvanced']"
2025-04-21,توسعه دهنده ارشد پایتون (Django),شرکت نرد استدیو,30 - 35 میلیون تومان,مشهد,ریموت,تمام وقت,امکان دورکاری,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Django\n|\nپیشرفته', 'Rest API\n|\nپیشرفته', 'MySql\n|\nمتوسط', 'PostgreSql\n|\nمتوسط', 'Docker\n|\nمقدماتی']"
2025-04-13,کارشناس گزارشات و تحلیل داده,ارکید فارمد,an argumant,تهران ، ونک,شنبه تا چهارشنبه,تمام وقت,,"['Python\n|\nمتوسط', 'PowerBI\n|\nمتوسط', 'Microsoft Excel\n|\nمتوسط']"
2025-04-06,اپراتور ورود اطلاعات (DATA ENTRY),رایان خودرو اندیش,an argumant,تهران ، آزادی,شنبه تا چهارشنبه 9 تا 17 - پنجشنبه 9 تا 13,تمام وقت,,[]
2025-04-07,Data Analyst,اسنپ فود,an argumant,تهران ، زعفرانیه,Saturday to Friday (one day off on Thursday or Friday on a rotating basis),Full Time,,[]
2025-04-21,Data Engineer,بولوت تکین چابک,an argumant,تبریز,شنبه تا چهارشنبه 8 تا 17:30,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی برق', 'کارشناسی\n|\nمهندسی صنایع', 'Sql Server\n|\nمتوسط', 'MySql\n|\nمتوسط', 'Docker\n|\nمقدماتی', 'Linux\n|\nمقدماتی', 'Python\n|\nمقدماتی']"
2025-04-27,کارشناس هوش تجاری (BI),شاتل موبایل,an argumant,تهران ، شریعتی,شنبه تا سه شنبه 8:00 تا 17:30 - چهارشنبه 8:00 تا 16:30,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'PL-SQL\n|\nمتوسط', 'PowerBI\n|\nمتوسط', 'Python\n|\nمقدماتی', 'Java\n|\nمقدماتی']"
2025-04-09,کارشناس تحلیل داده‌های مخابراتی,فناوری اطلاعات و ارتباطات مُهَیمن,an argumant,تهران ، عباس آباد (بهشتی),شنبه تا چهارشنبه 8 الی16 | پنجشنبه‌ها 8 الی 12,تمام وقت,,[]
2025-03-17,متخصص پردازش تصویر (هوش مصنوعی),سازمانی فعال در حوزه تلکام,an argumant,تهران ، شهرک گلستان (شهرک راه آهن),شنبه تا چهارشنبه ساعت 8:30 الی 17:30,تمام وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی ارشد\n|\nمهندسی برق', 'کارشناسی ارشد\n|\nمهندسی پزشکی', 'انگلیسی\n|\nپیشرفته ۹۰٪', 'Python\n|\nپیشرفته', 'GIT\n|\nمتوسط']"
2025-04-06,کارشناس علم داده (گراف),تجارت الکترونیک و فناوری اطلاعات ملل,15 - 22 میلیون تومان,تهران ، شهرک والفجر,شنبه تا چهارشنبه 07:10 الی 16:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Python\n|\nپیشرفته']"
2025-04-29,کارشناس هوش تجاری,داروسازی تهران شیمی,an argumant,تهران ، هفده شهریور,شنبه تا چهارشنبه 7 الی 16 پنج شنبه 7 الی 15,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع', 'کارشناسی\n|\nریاضی و آمار', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Python\n|\nمتوسط', 'Microsoft Excel\n|\nمتوسط', 'PowerBI\n|\nمتوسط']"
2025-03-16,مشاور هوش مصنوعی (ML and AI),گُل اِرن,30 - 40 میلیون تومان,تهران ، تهرانپارس,قابل مذاکره,پاره وقت,"پاره وقت
امکان دورکاری","['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Tableau\n|\nمتوسط', 'PowerBI\n|\nمتوسط', 'MongoDB\n|\nمتوسط', 'MySql\n|\nمتوسط', 'PostgreSql\n|\nمتوسط', 'Python\n|\nمتوسط']"
2025-04-21,ML Engineer,شرکت لایف وب,an argumant,تهران ، مطهری,Saturday - Wednesday,Full Time,,"['Bachelor\n|\nComputer and IT', 'English\n|\nIntermediate - 50%', 'GIT\n|\nIntermediate', 'Python\n|\nAdvanced', 'Elastic Search\n|\nIntermediate']"
2025-04-28,کارشناس ارشد هوش تجاری,دانشگاه آزاد واحد الکترونیکی,an argumant,تهران ، شهرک غرب (شهرک قدس),شنبه تا چهارشنبه,تمام وقت,,"['SSIS\n|\nپیشرفته', 'SSRS\n|\nپیشرفته', 'SSAS\n|\nپیشرفته', 'T-Sql\n|\nپیشرفته', 'PowerBI\n|\nپیشرفته']"
2025-04-06,توسعه دهنده ارشد هوش مصنوعی,کیهان وب,20 - 30 میلیون تومان,مشهد,9 الی 17,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nپیشرفته', 'Go\n|\nمتوسط', 'OpenCV\n|\nپیشرفته', 'Docker\n|\nپیشرفته', 'Kubernetes\n|\nمتوسط', 'Keras\n|\nمتوسط', 'GIT\n|\nپیشرفته']"
2025-03-26,کارشناس هوش مصنوعی (NLP-LLM ),مجموعه آزمایشگاهی مندل,20 - 30 میلیون تومان,تهران ، اسکندری,شنبه تا پنجشنبه,تمام وقت,امکان دورکاری,['انگلیسی\n|\nبالاتر از متوسط ۷۰٪']
2025-04-28,Business Analyst,اسنپ مارکت,an argumant,تهران ، زعفرانیه,Saturday to Wednesday,Full Time,,"['MySql\n|\nIntermediate', 'PowerBI\n|\nIntermediate']"
2025-04-19,کارشناس NLP,فناپ,an argumant,پردیس,شنبه تا چهارشنبه,تمام وقت,,['Python\n|\nمتوسط']
2025-04-07,کارشناس ارشد داده - آقا,فناوری اطلاعات مهر اندیش آکام,an argumant,تهران ، هفت تیر,شنبه تا چهارشنبه,تمام وقت,,"['Spark\n|\nمتوسط', 'Hadoop\n|\nمتوسط', 'PowerBI\n|\nمتوسط', 'Python\n|\nمتوسط']"
2025-04-30,کارشناس بررسی کیفیت داده,ویستا سامانه آسا,an argumant,تهران ، ونک,7:45 تا 16,تمام وقت,,"['کارشناسی\n|\nمالی و حسابداری', 'کارشناسی\n|\nاقتصاد', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمدیریت / بازرگانی / کسب و کار', 'کارشناسی\n|\nریاضی و آمار', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Microsoft Word\n|\nمتوسط', 'Microsoft Excel\n|\nمتوسط']"
2025-04-09,Data Analyst,زرینو,an argumant,تهران ، جردن,Saturday to Wednesday,Full Time,,[]
2025-04-20,Senior Data Engineer,خودرو 45,an argumant,تهران ، میرداماد,شنبه تا چهارشنبه,Full Time,,[]
2025-04-22,کارشناس هوش تجاری (BI Developer),افق تولید دارو پارس,an argumant,تهران ، سعادت آباد,شنبه تا چهارشنبه - 8 الی 17:30,تمام وقت,,"['کارشناسی\n|\nمدیریت / بازرگانی / کسب و کار', 'کارشناسی\n|\nمهندسی صنایع', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nریاضی و آمار', 'انگلیسی\n|\nمتوسط ۵۰٪']"
2025-04-09,Business Analyst (Contact Center),اسنپ فود,an argumant,تهران ، باغ فیض,شنبه تا چهارشنبه,Full Time,,[]
2025-04-14,کارشناس تحلیل داده (Market Insights Analyst),گروه توسعه همراه تل,an argumant,تهران ، جردن,شنبه تا چهارشنبه - 8 الی17 ( به همراه 1 ساعت شناوری ),تمام وقت,,"['Microsoft Excel\n|\nپیشرفته', 'Tableau\n|\nپیشرفته', 'Google Analytics\n|\nپیشرفته', 'Python\n|\nمتوسط']"
2025-04-07,کارشناس مهندسی داده,گلرنگ سیستم,an argumant,تهران ، ساعی - توانیر,ساعت کاری شنبه تا چهارشنبه 7:45 تا 17:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Sql Server\n|\nمتوسط', 'SSIS\n|\nمتوسط', 'SSAS\n|\nمتوسط', 'Python\n|\nمتوسط', 'PowerBI\n|\nمتوسط']"
2025-03-29,مهندس داده,کافه‌ بیکری گنتوم,20 - 26 میلیون تومان,شیراز,تسک محور,تمام وقت,,"['کارشناسی ارشد\n|\nریاضی و آمار', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'PowerBI\n|\nمتوسط', 'Tableau\n|\nمقدماتی', 'Python\n|\nمتوسط']"
2025-04-09,کارشناس مدل‌های زبانی بزرگ (LLM Expert),پیشتازان دانش و صنعت زنده رود,15 - 22 میلیون تومان,اصفهان,شنبه تا پنج شنبه از ساعت 9 تا 17,تمام وقت یا پاره وقت,امکان دورکاری,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Python\n|\nمتوسط']"
2025-04-26,BI Analyst,شرکت زرین رویا,an argumant,تهران ، آرژانتین,Saturday-Wednesday(8-16:50),Full Time,,"['PowerBI\n|\nIntermediate', 'SSAS\n|\nIntermediate', 'Sql Server\n|\nIntermediate']"
2025-04-28,کارشناس دیتا آنالیزور,شرکت توسعه صنعت نظری,an argumant,تهران ، تهرانپارس,شنبه تا چهارشنبه 8 الی 17:18 - پنجشنبه اضافه کاری تا 16,تمام وقت,,"['کارشناسی\n|\nمدیریت / بازرگانی / کسب و کار', 'کارشناسی\n|\nریاضی و آمار', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Microsoft Excel\n|\nمتوسط', 'PowerBI\n|\nمتوسط']"
