shippingDate,title,company,salary,province,workingHours,typeOfCooperation,facility,tagList
2025-03-17,کارشناس تحلیل داده و سیستم ها,هلدینگ صافولا (صنعتی بهشهر، طلوع پخش آفتاب و گندم طلایی نوتریکا),an argumant,تهران ، فتح - صنعتی,شنبه تا چهارشنبه 8:30 الی 17,تمام وقت,,"['انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Microsoft Word\n|\nمتوسط', 'Microsoft Excel\n|\nپیشرفته', 'Microsoft Outlook\n|\nمتوسط', 'Microsoft Powerpoint\n|\nپیشرفته']"
2025-03-10,کارشناس هوش مصنوعی,مرکز تحقیقات و نوآوری فجر,18 - 25 میلیون تومان,بابل,شنبه تا پنجشنبه 9 تا 17,قراردادی / پروژه ای,,['Python\n|\nمتوسط']
2025-04-07,BI Developer,پرشین تجارت پاشا (زیرمجموعه هلدینگ بیژن),an argumant,تهران ، آرژانتین,شنبه تا چهارشنبه 8:30 الی 17 - پنجشنبه‌ 8:30 الی 12:30,تمام وقت,,"['Python\n|\nمتوسط', 'PowerBI\n|\nپیشرفته', 'T-Sql\n|\nپیشرفته', 'SSIS\n|\nمتوسط', 'SSAS\n|\nمتوسط', 'Microsoft Word\n|\nمتوسط', 'Microsoft Excel\n|\nمتوسط']"
2025-03-06,مهندس کامپیوتر (تحلیل داده),شرکت کیمیانشان پایا,an argumant,تهران ، جردن,شنبه تا چهارشنبه,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Sql Server\n|\nمتوسط', 'Microsoft Excel\n|\nمتوسط', 'Tableau\n|\nمتوسط', 'PowerBI\n|\nمتوسط']"
2025-03-17,مهندس امنیت هوش مصنوعی (AI Security Engineer),هوشمند تدبیر دیاکو,an argumant,تهران ، حسین آباد - مبارک آباد,شنبه تا چهارشنبه ساعت 8 الی 17,تمام وقت,,[]
2025-04-30,Oracle Database Administrator (DBA),پرداخت الکترونیک پاسارگاد,an argumant,تهران ، سعادت آباد,شنبه تا چهارشنبه 7:30 الی 16:30,تمام وقت,,"['Linux\n|\nمتوسط', 'Oracle Database\n|\nپیشرفته']"
2025-04-09,کارشناس خزش وب (پیش‌پردازش داده‌های متنی),دانشکده مهندسی کامپیوتر - دانشگاه صنعتی امیرکبیر,an argumant,تهران ، حافظ,شنبه تا چهارشنبه - 9 ساعت در بازه 8 تا 20,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nمقدماتی', 'GIT\n|\nمتوسط']"
2025-03-05,senior data analyst,داریا همراه پایتخت,an argumant,تهران ، پارک وی,Sat to Wed From 10 to 18,Full Time,,[]
2025-03-05,کارشناس مهندسی داده (بصری سازی),شرکت داده و اعتبار سنجی تجارت ایرانیان (داتا),an argumant,تهران ، آرژانتین,شنبه تا چهارشنبه ساعت 8 تا 17,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'PL-SQL\n|\nمتوسط', 'PowerBI\n|\nمتوسط', 'ODI\n|\nمتوسط', 'Oracle BI\n|\nمتوسط', 'Linux\n|\nمتوسط', 'GIT\n|\nمقدماتی']"
2025-03-15,کارشناس آمار زیستی,ارکید فارمد,an argumant,تهران ، یوسف اباد,شنبه تا چهارشنبه,تمام وقت,,"['کارشناسی ارشد\n|\nریاضی و آمار', 'Stata\n|\nمتوسط', 'R\n|\nمتوسط']"
2025-03-08,کارشناس هوش مصنوعی (AI Specialist),هوشمند تدبیر دیاکو,an argumant,تهران ، حسین آباد - مبارک آباد,شنبه تا چهارشنبه ساعت 8 الی 17,تمام وقت,,[]
2025-03-11,کارشناس اوسینت (OSINT) - خانم,موسسه توسعه فن آوری (وابسته به دانشگاه تهران),an argumant,تهران ، سیدخندان,شنبه تا چهارشنبه 8 الی 16,تمام وقت,,"['انگلیسی\n|\nمتوسط ۵۰٪', 'Microsoft Word\n|\nمتوسط', 'Microsoft Excel\n|\nمتوسط']"
2025-03-29,کارشناس PMIS,هیربد نیرو,an argumant,تهران ، عباس آباد (بهشتی),شنبه تا چهارشنبه,تمام وقت یا پاره وقت,,['PowerBI\n|\nپیشرفته']
2025-04-30,SQL Server Database Administrator (DBA),پرداخت الکترونیک پاسارگاد,an argumant,تهران ، سعادت آباد,شنبه تا چهارشنبه 7:30 الی 16:30,تمام وقت,,['SSIS\n|\nمتوسط']
2025-03-05,BI Developer,داریا همراه پایتخت,an argumant,تهران ، پارک وی,Sat to Wed From 10 to 18,Full Time,,"['MySql\n|\nIntermediate', 'PostgreSql\n|\nIntermediate', 'Python\n|\nAdvanced', 'MongoDB\n|\nIntermediate']"
2025-05-04,Data Scientist,فناوران اطلاعات خبره,an argumant,تهران ، گاندی,شنبه تا چهارشنبه، 8 الی 17 (با نیم ساعت شناوری),تمام وقت یا پاره وقت,امکان دورکاری,['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات']
2025-05-04,کارشناس ارشد MLOps,فناوران اطلاعات خبره,an argumant,تهران ، گاندی,شنبه تا چهارشنبه، ساعت 8 الی 17 (با نیم ساعت شناوری),تمام وقت یا پاره وقت,امکان دورکاری,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nپیشرفته']"
